Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-09-03,110,2235.3297778686597,8062.80925232172,72.0,56,0.37699969599906114,2.8429505825042725,0.248884916305542,10955,,,,,4217324,1813725
2021-09-04,13,1675.1454970142324,639.3998589515686,,,0.34211304462030295,1.0745168924331665,0.2537316381931305,1233,81.30000305175781,81.30000305175781,81.30000305175781,,255504,
2021-09-05,110,2119.528617663434,7408.371406555176,78.0,66,0.4378770019237252,2.5958023071289062,0.2550294101238251,10262,,,,,4939693,788884
2021-09-06,79,2055.4054045334283,6304.041142940521,63.0,47,0.5223801321928219,3.0622222423553467,0.25572237372398376,8425,80.4000015258789,80.4000015258789,80.4000015258789,,3691972,726249
2021-09-07,104,2143.029520371923,8030.822293996811,76.0,61,0.4222077746637088,3.089262008666992,0.26565563678741455,10873,,,,,3750853,1515266
2021-09-08,127,2258.3311386760192,8248.592951059341,43.0,32,0.4772230094736783,2.725803852081299,0.26565563678741455,11782,80.5,80.5,80.5,,6731734,907409
2021-09-09,60,1978.6168525447454,4782.235265851021,48.0,34,0.611409718766124,2.9070708751678467,0.26565563678741455,6497,80.4000015258789,80.4000015258789,80.4000015258789,,2112152,1004206
2021-09-10,48,1806.7962668533316,1804.6812287569046,,,0.40573082111970626,1.1183875799179077,0.2550294101238251,2962,,,,,2369242,
2021-09-11,114,2054.773704596766,6919.192294597626,56.0,56,0.5746299501973007,1.35713529586792,0.2550294101238251,10279,80.0,80.0,80.0,,6209134,
2021-09-12,122,2173.4546809780445,7741.8160099983215,57.0,41,0.6129810593023004,3.1089606285095215,0.24737399816513062,11060,,,,,4670228,1371745
2021-09-13,103,2222.131281486535,7622.353908896446,66.0,48,0.42413272471013114,2.7411177158355713,0.2550294101238251,10380,,,,,4545966,1731522
2021-09-14,199,2294.335798843816,9264.978354096413,49.0,49,0.4444624553420626,1.601388692855835,0.2550294101238251,14294,,,,,9400721,221527
2021-09-15,71,1928.7480206334303,2901.3801114559174,2.0,2,0.4805250239330976,1.4189180135726929,0.2550294101238251,4847,,,,,4309266,
2021-09-16,110,2209.1286213738185,6964.873623609543,58.0,41,0.4608218138127149,2.7625153064727783,0.2550294101238251,9672,,,,,4943733,1428964
2021-09-17,132,2265.199280612331,7493.814240932465,52.0,38,0.5428934282995175,2.883706569671631,0.2550294101238251,10604,,,,,5867037,1547525
2021-09-18,155,2241.2490689162614,8506.529949903488,52.0,52,0.6377049130779282,1.4825152158737183,0.26565563678741455,12680,,,,,8883824,90835
2021-09-19,29,1696.7212801131113,1275.2748789787292,,,0.36120356591248765,1.240382432937622,0.24863038957118988,2251,,,,,760476,
2021-09-20,2,1655.2202498043928,96.91118907928467,,,0.4338824636987909,0.8570186495780945,0.2550294101238251,356,,,,,125727,
2021-09-21,102,2081.2988242406736,6549.226192474365,44.0,37,0.3910322278847441,2.357268810272217,0.2550294101238251,9556,,,,,5089200,670931
2021-09-22,93,2148.425537034608,6622.388876438141,61.0,45,0.5719016603830638,2.6473610401153564,0.2550294101238251,9029,,,,,4831997,1148892
2021-09-23,53,1733.7010486829072,2040.9308733940125,1.0,1,0.4031028958784103,1.4141539335250854,0.2550294101238251,3630,,,,,1326071,
2021-09-24,65,1891.526351940208,3540.4851608276367,19.0,17,0.45762718350053433,2.643322229385376,0.2550294101238251,5594,,,,,3555188,60269
2021-09-25,2,1647.9242752596679,75.23368453979492,,,0.31900313762566196,0.7397994995117188,0.31878677010536194,193,,,,,14138,
2021-09-26,63,1918.6195795780873,4858.774951100349,51.0,41,0.3894288176034056,2.731151819229126,0.26565563678741455,6653,,,,,2667542,621585
2021-09-27,24,1702.481575650356,897.6943135261536,,,0.5068106546952217,1.2388036251068115,0.26565563678741455,1706,,,,,848578,
2021-09-28,61,1832.1650988959957,2480.064097881317,2.0,2,0.4592407734442063,1.2195219993591309,0.26565563678741455,4142,,,,,2832055,
2021-09-29,50,1760.4615269264782,2157.855416417122,8.0,8,0.44368342600471405,1.4420560598373413,0.2550294101238251,3337,,,,,1543437,85017
2021-09-30,43,1765.0223605300137,2248.819535255432,7.0,7,0.6174230234319129,1.6791578531265259,0.26565563678741455,3584,,,,,1731255,30106
2021-10-01,41,1761.5486339892436,1843.0502495765686,1.0,1,0.41754111035773495,1.5265473127365112,0.2652662694454193,3028,,,,,1751993,
2021-10-02,67,1899.9253035031556,3599.8844723701477,26.0,18,0.4062570054149826,2.683727264404297,0.26286935806274414,5226,,,,,2204164,665674
2021-10-03,99,1965.355128191148,5312.81663274765,19.0,19,0.3708609617371694,1.2411084175109863,0.2518618404865265,8238,,,,,4869159,
2021-10-04,39,1720.1033132036869,1522.279383778572,1.0,1,0.40825818862626756,1.2022608518600464,0.26565563678741455,2544,,,,,1118098,
2021-10-05,121,2147.141775713706,8756.000968694687,87.0,71,0.6093671026768795,2.916059732437134,0.26565563678741455,11807,,,,,5277837,789509
2021-10-06,44,1703.601288806843,1454.785922050476,,,0.3927138092181231,1.3920011520385742,0.24654985964298248,2332,,,,,729656,60263
2021-10-07,33,1720.8799676414471,1207.1831238269806,2.0,2,0.43895052557684555,1.2544100284576416,0.2550294101238251,2178,,,,,1129977,
2021-10-08,49,1745.5908529454712,1870.3010069131851,,,0.4708251410290738,1.4856351613998413,0.25085654854774475,3186,,,,,1371836,60281
2021-10-09,46,1792.2458116402195,2276.0383973121643,9.0,9,0.4725975943939376,1.5048353672027588,0.26588767766952515,3596,,,,,2221499,
2021-10-10,90,2010.8185455344078,5365.075442075729,17.0,17,0.42485903972219263,1.3239343166351318,0.26565563678741455,8191,,,,,5564513,
2021-10-11,23,1816.6760184191876,886.4470254182816,,,0.6197219365592362,1.2181519269943237,0.31878677010536194,1635,,,,,2255180,150592
2021-10-12,162,2313.6078610048057,10437.004474557936,89.0,81,0.8188007621572169,2.9044189453125,0.26565563678741455,14466,,,,,7053267,1281511
2021-10-13,28,1722.455143578382,984.0290948152542,,,0.3916874069807509,1.1137241125106812,0.2762818932533264,1645,,,,,1154068,
2021-10-14,140,2215.067252713357,7306.27118396759,22.0,22,0.4829448305905591,1.4085183143615723,0.2507550120353699,11247,,,,,8688445,
2021-10-15,52,1748.8233187832086,1874.2000735998154,,,0.4966785404031263,1.394342303276062,0.2571466267108917,3120,,,,,1557363,
2021-10-16,35,1739.145716065608,1262.7109246253967,,,0.35705132446248594,1.1850022077560425,0.2550294101238251,2150,,,,,1272187,60755
2021-10-17,23,1732.9001462879903,890.7841486930847,,,0.3704409642484159,1.159902811050415,0.29352012276649475,1619,,,,,1313822,
2021-10-18,69,1977.853893708612,4943.176869511604,46.0,34,0.49193423466532266,2.683180093765259,0.2550294101238251,6672,,,,,3193064,725901
2021-10-19,40,1757.224060001055,1539.8886227607727,2.0,2,0.5483023338969408,1.4020432233810425,0.2550294101238251,2607,,,,,1483114,89803
2021-10-20,56,1808.571564172044,2673.888589143753,8.0,8,0.6867850821577415,1.437267780303955,0.24641112983226776,4344,,,,,2471197,
2021-10-21,46,1799.8823593619206,1698.7436037063599,,,0.45063123723446336,1.229209065437317,0.26253610849380493,2863,,,,,2338296,
2021-10-22,177,2192.260108492934,7181.184917092323,16.0,16,0.4646722521455665,1.6477400064468384,0.2550294101238251,11329,,,,,8339613,
2021-10-23,15,1688.4367286343168,625.5604913234711,,,0.4307459330579485,1.1713372468948364,0.2762818932533264,1299,,,,,633764,
